group,model,n_predictions,mean_correct,theoretical_random,improvement_pct,p_value_vs_random_H0,rate_k_ge_2,p_value_k_ge_2,wilcoxon_p_vs_freq_top5,significatif_apres_correction_moyenne,significatif_apres_correction_k_ge_2
digital,freq_top5,4273,0.3098525626023871,0.2777777777777778,11.546922536859345,0.0,0.027849286215773462,0.029848527423149085,,True,False
digital,freq_decay,4273,0.29464076761057806,0.2777777777777778,6.070676339808096,0.015,0.026211092908963257,0.11391654861587128,0.05193678267008187,False,False
digital,markov1,4273,0.2958109056868711,0.2777777777777778,6.491926047273582,0.0104,0.025743037678446056,0.15625365265383548,0.14186642582721543,True,False
digital,ml_logreg,4273,0.28996021530540605,0.2777777777777778,4.385677509946175,0.0568,0.02270067868008425,0.6155708073767854,0.04273504577654604,False,False
digital,random_control,4273,0.2773227240814416,0.2777777777777778,-0.1638193306810298,0.5286,0.02270067868008425,0.6155708073767854,0.0024734798241128177,False,False
control,freq_top5,4192,0.2786259541984733,0.2777777777777778,0.3053435114503844,0.4594,0.02385496183206107,0.41896339037896113,,False,False
control,freq_decay,4192,0.2767175572519084,0.2777777777777778,-0.3816793893129855,0.5546,0.02361641221374046,0.4591256422350189,0.7272277667264706,False,False
control,markov1,4192,0.27576335877862596,0.2777777777777778,-0.7251908396946605,0.6026,0.02361641221374046,0.4591256422350189,0.7762178121807393,False,False
control,ml_logreg,4192,0.29770992366412213,0.2777777777777778,7.175572519083963,0.0054,0.0245706106870229,0.30562401789055893,0.07221654840225704,True,False
control,random_control,4192,0.2774332061068702,0.2777777777777778,-0.12404580152672429,0.5158,0.022185114503816793,0.6970928211833312,0.8697705299979277,False,False
